head_id,group,role,events,top1_count,top1_rate,top3_count,top3_rate,mean_activation_norm
L1_ch0:16,B_confused_highiso,hard_hadron,11,1,0.09090909090909091,2,0.06060606060606061,37.25613880157471
L1_ch0:16,B_confused_highiso,hardest_hadron,11,1,0.09090909090909091,1,0.030303030303030304,58.23073196411133
L1_ch0:16,B_confused_highiso,nearest_hadron_to_best_lepton,11,1,0.09090909090909091,1,0.030303030303030304,28.331066131591797
L1_ch0:16,B_confused_highiso,particle0,11,0,0.0,1,0.030303030303030304,47.22296142578125
L1_ch0:16,B_confused_highiso,particle0_best_lepton,11,0,0.0,1,0.030303030303030304,27.06249237060547
L1_ch0:16,C_Tbl_correct,photon_neighbor,128,98,0.765625,263,0.6848958333333334,31.857129883856828
L1_ch0:16,C_Tbl_correct,hadron_neighbor,128,18,0.140625,72,0.1875,30.955309602949356
L1_ch0:16,C_Tbl_correct,particle0_best_lepton,128,4,0.03125,11,0.028645833333333332,28.097684513438832
L1_ch0:16,C_Tbl_correct,hard_hadron,128,3,0.0234375,11,0.028645833333333332,34.763588818636805
L1_ch0:16,C_Tbl_correct,nearest_hadron_to_best_lepton,128,2,0.015625,14,0.036458333333333336,29.428221021379745
L1_ch0:16,C_Tbl_correct,hardest_hadron,128,2,0.015625,5,0.013020833333333334,38.51225891113281
L1_ch0:16,C_Tbl_correct,other_lepton,128,1,0.0078125,3,0.0078125,32.25458780924479
L1_ch0:16,C_Tbl_correct,particle0,128,0,0.0,3,0.0078125,29.15225346883138
L1_ch0:16,C_Tbl_correct,second_lepton,128,0,0.0,2,0.005208333333333333,30.148119926452637
L1_ch112:128,A_protected_highiso,particle0_best_lepton,32,11,0.34375,22,0.22916666666666666,30.097611687400125
L1_ch112:128,A_protected_highiso,hard_hadron,32,9,0.28125,27,0.28125,26.760202054624205
L1_ch112:128,A_protected_highiso,hadron_neighbor,32,7,0.21875,29,0.3020833333333333,27.428891806766906
L1_ch112:128,A_protected_highiso,hardest_hadron,32,3,0.09375,4,0.041666666666666664,24.841480255126953
L1_ch112:128,A_protected_highiso,photon_neighbor,32,1,0.03125,9,0.09375,24.740976757473415
L1_ch112:128,A_protected_highiso,nearest_hadron_to_best_lepton,32,1,0.03125,4,0.041666666666666664,23.37295627593994
L1_ch112:128,A_protected_highiso,other_lepton,32,0,0.0,1,0.010416666666666666,21.761465072631836
L1_ch112:128,B_confused_highiso,particle0_best_lepton,11,5,0.45454545454545453,8,0.24242424242424243,28.897568464279175
L1_ch112:128,B_confused_highiso,hadron_neighbor,11,3,0.2727272727272727,10,0.30303030303030304,28.563039016723632
L1_ch112:128,B_confused_highiso,hard_hadron,11,1,0.09090909090909091,9,0.2727272727272727,24.318645265367294
L1_ch112:128,B_confused_highiso,photon_neighbor,11,1,0.09090909090909091,4,0.12121212121212122,23.32987642288208
L1_ch112:128,B_confused_highiso,particle0,11,1,0.09090909090909091,1,0.030303030303030304,36.362342834472656
L1_ch112:128,B_confused_highiso,nearest_hadron_to_best_lepton,11,0,0.0,1,0.030303030303030304,28.60222625732422
L1_ch112:128,C_Tbl_correct,particle0_best_lepton,128,53,0.4140625,61,0.15885416666666666,36.37056131831935
L1_ch112:128,C_Tbl_correct,hadron_neighbor,128,35,0.2734375,119,0.3098958333333333,27.027487281991654
L1_ch112:128,C_Tbl_correct,hard_hadron,128,17,0.1328125,72,0.1875,26.20616798930698
L1_ch112:128,C_Tbl_correct,nearest_hadron_to_best_lepton,128,8,0.0625,35,0.09114583333333333,25.91207297188895
L1_ch112:128,C_Tbl_correct,photon_neighbor,128,7,0.0546875,57,0.1484375,23.9330832832738
L1_ch112:128,C_Tbl_correct,particle0,128,5,0.0390625,15,0.0390625,27.349811808268228
L1_ch112:128,C_Tbl_correct,hardest_hadron,128,3,0.0234375,23,0.059895833333333336,24.052897577700406
L1_ch112:128,C_Tbl_correct,best_lepton,128,0,0.0,1,0.0026041666666666665,26.644784927368164
L1_ch112:128,C_Tbl_correct,second_lepton,128,0,0.0,1,0.0026041666666666665,25.425477981567383
L1_ch16:32,A_protected_highiso,photon_neighbor,32,18,0.5625,61,0.6354166666666666,31.03978485357566
L1_ch16:32,A_protected_highiso,hadron_neighbor,32,9,0.28125,22,0.22916666666666666,33.3657751083374
L1_ch16:32,A_protected_highiso,particle0_best_lepton,32,3,0.09375,7,0.07291666666666667,29.826616287231445
L1_ch16:32,A_protected_highiso,hard_hadron,32,2,0.0625,6,0.0625,29.983167966206867
L1_ch16:32,B_confused_highiso,photon_neighbor,11,5,0.45454545454545453,18,0.5454545454545454,33.08372847239176
L1_ch16:32,B_confused_highiso,hadron_neighbor,11,4,0.36363636363636365,11,0.3333333333333333,36.149832638827235
L1_ch16:32,B_confused_highiso,hard_hadron,11,2,0.18181818181818182,4,0.12121212121212122,30.35128879547119
L1_ch16:32,C_Tbl_correct,photon_neighbor,128,71,0.5546875,244,0.6354166666666666,33.896817058813376
L1_ch16:32,C_Tbl_correct,hadron_neighbor,128,35,0.2734375,73,0.19010416666666666,39.28868210152404
L1_ch16:32,C_Tbl_correct,hard_hadron,128,15,0.1171875,38,0.09895833333333333,33.37822106010035
L1_ch16:32,C_Tbl_correct,nearest_hadron_to_best_lepton,128,4,0.03125,10,0.026041666666666668,33.147087478637694
L1_ch16:32,C_Tbl_correct,particle0,128,2,0.015625,6,0.015625,32.74576759338379
L1_ch16:32,C_Tbl_correct,hardest_hadron,128,1,0.0078125,8,0.020833333333333332,30.039302587509155
L1_ch16:32,C_Tbl_correct,particle0_best_lepton,128,0,0.0,4,0.010416666666666666,26.70889663696289
L1_ch16:32,C_Tbl_correct,other_lepton,128,0,0.0,1,0.0026041666666666665,27.917306900024414
L1_ch32:48,A_protected_highiso,hadron_neighbor,32,20,0.625,50,0.5208333333333334,20.26935474395752
L1_ch32:48,A_protected_highiso,photon_neighbor,32,5,0.15625,17,0.17708333333333334,19.554881432477167
L1_ch32:48,A_protected_highiso,nearest_hadron_to_best_lepton,32,3,0.09375,12,0.125,19.475446383158367
L1_ch32:48,A_protected_highiso,particle0_best_lepton,32,2,0.0625,9,0.09375,17.742888026767307
L1_ch32:48,A_protected_highiso,hard_hadron,32,2,0.0625,5,0.052083333333333336,20.741849899291992
L1_ch32:48,A_protected_highiso,hardest_hadron,32,0,0.0,3,0.03125,16.199146270751953
L1_ch32:48,B_confused_highiso,hadron_neighbor,11,6,0.5454545454545454,15,0.45454545454545453,25.51430320739746
L1_ch32:48,B_confused_highiso,nearest_hadron_to_best_lepton,11,2,0.18181818181818182,3,0.09090909090909091,22.025415420532227
L1_ch32:48,B_confused_highiso,photon_neighbor,11,1,0.09090909090909091,6,0.18181818181818182,23.91729482014974
L1_ch32:48,B_confused_highiso,hard_hadron,11,1,0.09090909090909091,5,0.15151515151515152,21.220462799072266
L1_ch32:48,B_confused_highiso,particle0,11,1,0.09090909090909091,1,0.030303030303030304,50.81154251098633
L1_ch32:48,B_confused_highiso,particle0_best_lepton,11,0,0.0,3,0.09090909090909091,19.84382692972819
L1_ch32:48,C_Tbl_correct,hadron_neighbor,128,57,0.4453125,166,0.4322916666666667,25.17059593315584
L1_ch32:48,C_Tbl_correct,particle0_best_lepton,128,24,0.1875,53,0.13802083333333334,24.44352819334786
L1_ch32:48,C_Tbl_correct,nearest_hadron_to_best_lepton,128,21,0.1640625,49,0.12760416666666666,24.36396343854009
L1_ch32:48,C_Tbl_correct,hard_hadron,128,14,0.109375,45,0.1171875,23.559931818644205
L1_ch32:48,C_Tbl_correct,photon_neighbor,128,8,0.0625,51,0.1328125,24.385227334265615
L1_ch32:48,C_Tbl_correct,particle0,128,3,0.0234375,8,0.020833333333333332,23.565409421920776
L1_ch32:48,C_Tbl_correct,hardest_hadron,128,1,0.0078125,7,0.018229166666666668,20.81492587498256
L1_ch32:48,C_Tbl_correct,second_lepton,128,0,0.0,3,0.0078125,23.37200101216634
L1_ch32:48,C_Tbl_correct,best_lepton,128,0,0.0,2,0.005208333333333333,19.015506744384766
L1_ch48:64,A_protected_highiso,photon_neighbor,32,18,0.5625,44,0.4583333333333333,24.18647102876143
L1_ch48:64,A_protected_highiso,hadron_neighbor,32,8,0.25,33,0.34375,24.229447971690785
L1_ch48:64,A_protected_highiso,hard_hadron,32,4,0.125,8,0.08333333333333333,25.097264289855957
L1_ch48:64,A_protected_highiso,hardest_hadron,32,1,0.03125,2,0.020833333333333332,25.85032558441162
L1_ch48:64,A_protected_highiso,other_lepton,32,1,0.03125,1,0.010416666666666666,29.18584632873535
L1_ch48:64,A_protected_highiso,nearest_hadron_to_best_lepton,32,0,0.0,5,0.052083333333333336,24.15206298828125
L1_ch48:64,A_protected_highiso,particle0_best_lepton,32,0,0.0,2,0.020833333333333332,23.389415740966797
L1_ch48:64,A_protected_highiso,second_lepton,32,0,0.0,1,0.010416666666666666,27.97856903076172
L1_ch48:64,B_confused_highiso,photon_neighbor,11,5,0.45454545454545453,14,0.42424242424242425,24.161314010620117
L1_ch48:64,B_confused_highiso,hadron_neighbor,11,3,0.2727272727272727,10,0.30303030303030304,23.91834945678711
L1_ch48:64,B_confused_highiso,hard_hadron,11,2,0.18181818181818182,5,0.15151515151515152,24.569133377075197
L1_ch48:64,B_confused_highiso,particle0,11,1,0.09090909090909091,1,0.030303030303030304,30.612939834594727
L1_ch48:64,B_confused_highiso,nearest_hadron_to_best_lepton,11,0,0.0,2,0.06060606060606061,23.30185031890869
L1_ch48:64,B_confused_highiso,hardest_hadron,11,0,0.0,1,0.030303030303030304,24.632875442504883
L1_ch48:64,C_Tbl_correct,hadron_neighbor,128,52,0.40625,137,0.3567708333333333,23.601684528545743
L1_ch48:64,C_Tbl_correct,photon_neighbor,128,31,0.2421875,122,0.3177083333333333,22.634773395100577
L1_ch48:64,C_Tbl_correct,hard_hadron,128,24,0.1875,55,0.14322916666666666,24.277546431801536
L1_ch48:64,C_Tbl_correct,nearest_hadron_to_best_lepton,128,8,0.0625,25,0.06510416666666667,22.06650779724121
