particle_role,head_id,class_label,A_flow,B_flow,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,auto_formulation
hadron_neighbor,L2_ch128:160,label_Hqql,2.3358805558608298,1.549092060263213,0.7062477116177401,-0.7867884955976168,0.8428443486454729,0,0.7867884955976168,0.6631402370937248,PATH: hadron_neighbor -> L2_ch128:160 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.7868; B-C=0.8428; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L2_ch64:96,label_Hqql,2.322229137890924,1.6147833450396358,1.3999300854245629,-0.7074457928512883,0.21485325961507296,0,0.7074457928512883,0.15199703459506897,PATH: second_lepton -> L2_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.7074; B-C=0.2149; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L2_ch0:32,label_Hqql,6.359356028717504,5.658850722546911,6.095052919780924,-0.7005053061705926,-0.4362021972340129,0,0.7005053061705926,0.3055619537256974,PATH: particle0_best_lepton -> L2_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.7005; B-C=-0.4362; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L2_ch128:160,label_Hqql,1.9285362741523704,1.2294688232002755,0.22931972446740012,-0.6990674509520949,1.0001490987328754,0,0.6990674509520949,0.6991716810232262,PATH: hard_hadron -> L2_ch128:160 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.6991; B-C=1.0001; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L2_ch64:96,label_Hqql,1.3475706511850534,0.678897450338002,1.2528734110526043,-0.6686732008470514,-0.5739759607146023,0,0.6686732008470514,0.3838023428602946,PATH: hard_hadron -> L2_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.6687; B-C=-0.5740; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L2_ch32:64,label_Hqql,0.09292580619355562,-0.5443775542848717,-0.3226920260407734,-0.6373033604784273,-0.22168552824409826,0,0.6373033604784273,0.14128093211939913,PATH: hadron_neighbor -> L2_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.6373; B-C=-0.2217; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L2_ch32:64,label_Hqql,-1.3895464406504772,-1.8988299004016056,-3.43093476594188,-0.5092834597511284,1.5321048655402743,0,0.5092834597511284,0.7802756666238883,PATH: second_lepton -> L2_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.5093; B-C=1.5321; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L2_ch64:96,label_Hqql,1.4370723809931474,0.9757829485362706,1.629655037757131,-0.4612894324568768,-0.6538720892208605,0,0.4612894324568768,0.30162428493608306,PATH: photon_neighbor -> L2_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.4613; B-C=-0.6539; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L2_ch0:32,label_Hqql,3.1709554522541055,2.8349615938386847,2.148021064238544,-0.33599385841542073,0.6869405296001405,0,0.33599385841542073,0.23080779904228374,PATH: hardest_hadron -> L2_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.3360; B-C=0.6869; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L2_ch0:32,label_Hqql,2.363136068823019,2.163600761378968,1.9019764449529803,-0.19953530744405112,0.2616243164259877,0,0.19953530744405112,0.052203288412899174,PATH: hard_hadron -> L2_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.1995; B-C=0.2616; NEXT_PROBE: inspect particle geometry/source blocks.
