control,class_id,class_label,n,base_acc,ctrl_acc,acc_drop,flip_rate,delta_base_pred_logit_mean
remove_top16,5,label_Hqql,256,0.95703125,0.00390625,0.953125,0.9921875,-26.06163787841797
remove_top16,6,label_Zqq,256,0.609375,0.0,0.609375,0.9609375,-14.641844749450684
remove_top16,7,label_Wqq,256,0.73046875,0.0,0.73046875,0.9375,-15.194282531738281
remove_top16,8,label_Tbqq,256,0.90625,0.12109375,0.78515625,0.84375,-13.156280517578125
remove_top16,9,label_Tbl,256,0.96875,0.0,0.96875,1.0,-24.528926849365234
keep_top16,0,label_QCD,256,0.69921875,0.5703125,0.12890625,0.3671875,-2.541820526123047
keep_top16,1,label_Hbb,256,0.6484375,0.2109375,0.4375,0.671875,-2.5392239093780518
keep_top16,2,label_Hcc,256,0.58203125,0.46875,0.11328125,0.46484375,-1.6307364702224731
keep_top16,3,label_Hgg,256,0.69140625,0.0,0.69140625,0.86328125,-5.2050371170043945
keep_top16,4,label_H4q,256,0.78125,0.7578125,0.0234375,0.31640625,-1.3168175220489502
keep_top16,5,label_Hqql,256,0.95703125,0.95703125,0.0,0.015625,0.85440993309021
keep_top16,6,label_Zqq,256,0.609375,0.34765625,0.26171875,0.47265625,-0.9221576452255249
keep_top16,7,label_Wqq,256,0.73046875,0.82421875,-0.09375,0.17578125,-0.2946961224079132
keep_top16,8,label_Tbqq,256,0.90625,0.421875,0.484375,0.55859375,-3.6880197525024414
keep_top16,9,label_Tbl,256,0.96875,0.83203125,0.13671875,0.14453125,0.26824259757995605
random_remove16,0,label_QCD,256,0.69921875,0.609375,0.08984375,0.3515625,-4.40511417388916
random_remove16,1,label_Hbb,256,0.6484375,0.16015625,0.48828125,0.734375,-5.823649883270264
random_remove16,2,label_Hcc,256,0.58203125,0.1171875,0.46484375,0.7578125,-6.509911060333252
random_remove16,3,label_Hgg,256,0.69140625,0.37890625,0.3125,0.46484375,-1.78155517578125
random_remove16,4,label_H4q,256,0.78125,0.8828125,-0.1015625,0.1796875,-1.0064785480499268
random_remove16,5,label_Hqql,256,0.95703125,0.33984375,0.6171875,0.6484375,-14.320069313049316
random_remove16,6,label_Zqq,256,0.609375,0.1015625,0.5078125,0.76171875,-7.286564350128174
random_remove16,7,label_Wqq,256,0.73046875,0.37890625,0.3515625,0.63671875,-7.080373287200928
random_remove16,8,label_Tbqq,256,0.90625,0.55859375,0.34765625,0.40625,-4.014492034912109
random_remove16,9,label_Tbl,256,0.96875,0.265625,0.703125,0.72265625,-16.789348602294922
