module_name,call_index,module_type,captured_input_shape,captured_output_shape,replay_output_shape,replay_rel_err,accepted,fail_reason,mha_rel_err,pair_bias_norm,attn_mask_source,attn_mask_dtype,key_padding_mask_source,key_padding_mask_dtype,normalized_attn_mask_kind,attention_probs_shape
mod.blocks.1.post_attn_norm,0,LayerNorm,[128x32x128],128x32x128,128x32x128,8.468888523793794e-08,True,,,,,,,,,
mod.blocks.1.dropout,0,Dropout,[128x32x128],128x32x128,128x32x128,0.0,True,,,,,,,,,
mod.blocks.1.pre_fc_norm,0,LayerNorm,[128x32x128],128x32x128,128x32x128,8.242301419159048e-08,True,,,,,,,,,
mod.blocks.1.fc1,0,Linear,[128x32x128],128x32x512,128x32x512,1.0850187237565478e-07,True,,,,,,,,,
mod.blocks.1.act,0,GELU,[128x32x512],128x32x512,128x32x512,7.4567893193489e-08,True,,,,,,,,,
mod.blocks.1.act_dropout,0,Dropout,[128x32x512],128x32x512,128x32x512,0.0,True,,,,,,,,,
mod.blocks.1.post_fc_norm,0,LayerNorm,[128x32x512],128x32x512,128x32x512,8.835730369582961e-08,True,,,,,,,,,
mod.blocks.1.fc2,0,Linear,[128x32x512],128x32x128,128x32x128,3.841712441499112e-07,True,,,,,,,,,
mod.blocks.1,0,Block,[128x32x128],128x32x128,128x32x128,1.9049424793138314e-07,True,,,,,,,,,
mod.blocks.2.pre_attn_norm,0,LayerNorm,[128x32x128],128x32x128,128x32x128,8.567770493073112e-08,True,,,,,,,,,
mod.blocks.2.attn,0,MultiheadAttention,"[128x32x128,128x32x128,128x32x128]","[128x32x128,32x128x128]",128x32x128,3.629901925705781e-07,True,,3.629901925705781e-07,14801.2197265625,kwargs,torch.float32,kwargs,torch.bool,torch.float32,"(32, 8, 128, 128)"
mod.blocks.2.post_attn_norm,0,LayerNorm,[128x32x128],128x32x128,128x32x128,8.668602191619357e-08,True,,,,,,,,,
mod.blocks.2.dropout,0,Dropout,[128x32x128],128x32x128,128x32x128,0.0,True,,,,,,,,,
mod.blocks.2.pre_fc_norm,0,LayerNorm,[128x32x128],128x32x128,128x32x128,8.491209513294962e-08,True,,,,,,,,,
mod.blocks.2.fc1,0,Linear,[128x32x128],128x32x512,128x32x512,1.0829418073399211e-07,True,,,,,,,,,
mod.blocks.2.act,0,GELU,[128x32x512],128x32x512,128x32x512,7.899247123077657e-08,True,,,,,,,,,
mod.blocks.2.act_dropout,0,Dropout,[128x32x512],128x32x512,128x32x512,0.0,True,,,,,,,,,
mod.blocks.2.post_fc_norm,0,LayerNorm,[128x32x512],128x32x512,128x32x512,8.686283337056011e-08,True,,,,,,,,,
mod.blocks.2.fc2,0,Linear,[128x32x512],128x32x128,128x32x128,3.885117791924131e-07,True,,,,,,,,,
mod.blocks.2,0,Block,[128x32x128],128x32x128,128x32x128,1.2814970773433743e-07,True,,,,,,,,,
mod.blocks.3.pre_attn_norm,0,LayerNorm,[128x32x128],128x32x128,128x32x128,8.603227286130277e-08,True,,,,,,,,,
mod.blocks.3.attn,0,MultiheadAttention,"[128x32x128,128x32x128,128x32x128]","[128x32x128,32x128x128]",128x32x128,3.8499231891364616e-07,True,,3.8499231891364616e-07,14801.2197265625,kwargs,torch.float32,kwargs,torch.bool,torch.float32,"(32, 8, 128, 128)"
